"miRNA","log2FoldChange_Normal","padj_Normal","log2FoldChange_HR","padj_HR","log2FoldChange_HER2","padj","direction_consistent","min_abs_log2FC","mean_abs_log2FC","Mature1","Mature2"
"hsa-mir-577",4.1295160019219,5.71471345336785e-46,4.53090645686635,1.01812204197694e-75,5.03861611450352,1.52881595855885e-54,TRUE,4.1295160019219,4.56634619109726,"hsa-miR-577",NA
"hsa-mir-522",4.76952804617759,1.84356792403359e-26,3.90760390582582,4.01691477739818e-17,3.92723103869033,4.26099310382071e-10,TRUE,3.90760390582582,4.20145433023125,"hsa-miR-522-5p","hsa-miR-522-3p"
"hsa-mir-516a-1",3.6629806875809,8.00205055239249e-23,3.65990806925929,4.75704648377979e-20,3.86651921435661,1.02709322013221e-12,TRUE,3.65990806925929,3.7298026570656,"hsa-miR-516a-5p","hsa-miR-516a-3p"
"hsa-mir-516a-2",3.93729473250766,5.54515403636671e-23,3.60077123851507,6.59224331368527e-21,3.64934327636908,2.71214582433313e-12,TRUE,3.60077123851507,3.72913641579727,"hsa-miR-516a-5p","hsa-miR-516a-3p"
"hsa-mir-934",3.56297865198274,2.98872923992896e-38,5.52296991406063,7.85900068829045e-81,4.7349733469787,2.81145084289095e-35,TRUE,3.56297865198274,4.60697397100735,"hsa-miR-934",NA
"hsa-mir-519a-1",4.03632859063024,1.31210839300238e-33,3.92266877186168,1.43962710511247e-31,3.49848229635765,5.75191503904539e-15,TRUE,3.49848229635765,3.81915988628319,"hsa-miR-519a-5p","hsa-miR-519a-3p"
"hsa-mir-519a-2",3.25811876205115,9.06086554505324e-21,2.5870179839033,1.30649982182455e-12,3.8100915711724,3.18557151284755e-14,TRUE,2.5870179839033,3.21840943904228,"hsa-miR-519a-2-5p","hsa-miR-519a-3p"
"hsa-mir-138-2",2.77098918032677,1.02520375547258e-19,2.26947778881378,3.2708355226057e-20,2.23475743392447,9.84172358144912e-11,TRUE,2.23475743392447,2.42507480102167,"hsa-miR-138-5p","hsa-miR-138-2-3p"
"hsa-mir-137",3.25564551648194,1.1247273229282e-11,2.39189118470764,3.06348767620197e-12,2.17480349887063,6.06772722875202e-06,TRUE,2.17480349887063,2.6074467333534,"hsa-miR-137-5p","hsa-miR-137-3p"
"hsa-mir-551a",2.14550239889934,3.19377090862523e-12,2.23072676284237,8.31919750370437e-18,2.15459744680314,3.43469554589763e-09,TRUE,2.14550239889934,2.17694220284828,"hsa-miR-551a",NA
"hsa-mir-135b",4.2986729644397,4.8386760976599e-84,3.46262607706186,2.25027704960631e-60,2.13857944765844,3.81088552638002e-14,TRUE,2.13857944765844,3.29995949638667,"hsa-miR-135b-5p","hsa-miR-135b-3p"
"hsa-mir-18a",2.80127145015092,7.55497892738137e-76,2.33482488127621,1.17590197066086e-96,1.85120434039319,3.9238342627705e-36,TRUE,1.85120434039319,2.32910022394011,"hsa-miR-18a-5p","hsa-miR-18a-3p"
"hsa-mir-138-1",2.5271527936376,1.14035115118633e-15,2.38855871632019,3.98348113906758e-16,1.83696080725262,6.05091594044702e-06,TRUE,1.83696080725262,2.25089077240347,"hsa-miR-138-5p","hsa-miR-138-1-3p"
"hsa-mir-9-2",3.16960172319457,2.27482546702848e-43,2.10415438001018,4.3794212881501e-23,1.64176702412076,8.51564112244834e-09,TRUE,1.64176702412076,2.30517437577517,"hsa-miR-9-5p","hsa-miR-9-3p"
"hsa-mir-9-1",3.17027075821254,1.52181341088954e-43,2.10191378105342,4.3794212881501e-23,1.64024880828135,8.51564112244834e-09,TRUE,1.64024880828135,2.30414444918244,"hsa-miR-9-5p","hsa-miR-9-3p"
"hsa-mir-9-3",3.16415457213877,4.47482340998698e-43,2.10144239023802,4.58020660241086e-23,1.63520176471475,9.56366637706580e-09,TRUE,1.63520176471475,2.30026624236385,"hsa-miR-9-5p","hsa-miR-9-3p"
"hsa-mir-10a",-1.80299195527701,2.59169673436397e-44,-1.96123877191046,2.01395657721289e-37,-1.61465472565082,2.39830342814347e-15,TRUE,1.61465472565082,1.79296181761276,"hsa-miR-10a-5p","hsa-miR-10a-3p"
"hsa-mir-1304",1.54223427055764,4.38772691004765e-05,2.19939008549676,4.45255513738851e-15,2.08044854874074,8.32188930789539e-08,TRUE,1.54223427055764,1.94069096826505,"hsa-miR-1304-5p","hsa-miR-1304-3p"
"hsa-mir-17",2.05856984476039,1.0308579885585e-66,1.61066208943842,2.42497828035217e-68,1.41866925073479,7.07470535278266e-32,TRUE,1.41866925073479,1.69596706164453,"hsa-miR-17-5p","hsa-miR-17-3p"
"hsa-mir-19a",2.35457440293158,5.32676806724146e-54,1.57450362679573,5.26132974782006e-45,1.36680727574602,2.15067810306773e-20,TRUE,1.36680727574602,1.76529510182444,"hsa-miR-19a-5p","hsa-miR-19a-3p"
"hsa-mir-455",2.23986761216051,1.6150528902158e-58,1.35552579933796,1.83854232998507e-32,1.66795306986475,2.87952476309186e-29,TRUE,1.35552579933796,1.75444882712107,"hsa-miR-455-5p","hsa-miR-455-3p"
"hsa-mir-20a",1.58041793153753,6.34290195376069e-35,1.39054070338575,4.30769953952771e-43,1.34673515012539,2.5380082886228e-24,TRUE,1.34673515012539,1.43923126168289,"hsa-miR-20a-5p","hsa-miR-20a-3p"
"hsa-mir-105-1",7.15335984960524,3.91159418063444e-49,2.47681195229461,3.08069854557153e-08,1.33355086666202,0.0408427090979699,TRUE,1.33355086666202,3.65457422285396,"hsa-miR-105-5p","hsa-miR-105-3p"
"hsa-mir-7156",3.85548415660165,1.71033150875365e-30,1.2095646219363,3.22839990103069e-06,1.532428299634,1.60357570091134e-05,TRUE,1.2095646219363,2.19915902605732,"hsa-miR-7156-5p","hsa-miR-7156-3p"
"hsa-mir-146a",1.54956603419787,4.10903618191183e-29,1.21753087957059,6.2506198077717e-28,1.14827801159012,6.19859682726695e-15,TRUE,1.14827801159012,1.30512497511953,"hsa-miR-146a-5p","hsa-miR-146a-3p"
"hsa-mir-19b-1",1.28908690981449,6.43961821850306e-27,1.12961977038199,4.9616840410785e-35,1.1337600672034,4.26661791146105e-21,TRUE,1.12961977038199,1.18415558246663,"hsa-miR-19b-1-5p","hsa-miR-19b-3p"
"hsa-mir-106a",2.17515585172348,2.46456068369634e-41,1.24213055469793,8.58660545425931e-27,1.12164101010416,3.77202194377884e-13,TRUE,1.12164101010416,1.51297580550852,"hsa-miR-106a-5p","hsa-miR-106a-3p"
"hsa-mir-505",1.10824703230633,4.74433848066309e-26,1.54446432467582,1.49127675815793e-74,1.21726545292576,7.46846911818766e-28,TRUE,1.10824703230633,1.2899922699693,"hsa-miR-505-5p","hsa-miR-505-3p"
"hsa-mir-885",3.64985575585629,2.45294916316115e-26,2.43137127271222,1.18973363910215e-16,1.10224587290264,0.00849676313029868,TRUE,1.10224587290264,2.39449096715705,"hsa-miR-885-5p","hsa-miR-885-3p"
"hsa-mir-19b-2",1.20621019902443,2.08574679796929e-22,1.08067788436906,2.88424401300048e-29,1.09832138049488,5.04792908583309e-18,TRUE,1.08067788436906,1.12840315462946,"hsa-miR-19b-2-5p","hsa-miR-19b-3p"
"hsa-mir-935",-1.07397350688678,2.82511697263365e-06,-1.96537020208702,2.65439275046386e-14,-1.70125495247028,7.37347116165355e-07,TRUE,1.07397350688678,1.58019955381469,"hsa-miR-935",NA
"hsa-mir-877",2.75354337286311,1.54528476526358e-52,1.34158040603492,7.20507686432451e-20,1.06539397075955,1.23316633204736e-07,TRUE,1.06539397075955,1.72017258321919,"hsa-miR-877-5p","hsa-miR-877-3p"
"hsa-mir-31",1.44034280585471,5.54405170098536e-10,1.58663034671223,2.3212979166073e-21,1.04326981406587,5.5294788252327e-06,TRUE,1.04326981406587,1.35674765554427,"hsa-miR-31-5p","hsa-miR-31-3p"
"hsa-mir-216a",1.0424206176305,0.00227845345343556,1.28183282016211,2.44205888344166e-07,1.75495814425132,5.19635953857094e-07,TRUE,1.0424206176305,1.35973719401464,"hsa-miR-216a-5p","hsa-miR-216a-3p"
