"mature_mirna_id","target_symbol"
"hsa-miR-934","ARL8B"
"hsa-miR-934","ASB16"
"hsa-miR-934","BACH2"
"hsa-miR-934","BBS5"
"hsa-miR-934","CADPS"
"hsa-miR-934","CBX2"
"hsa-miR-934","CCNT2"
"hsa-miR-934","CSK"
"hsa-miR-934","DCLK1"
"hsa-miR-934","DDHD1"
"hsa-miR-934","DYNC1H1"
"hsa-miR-934","FAM13B"
"hsa-miR-934","FAM221B"
"hsa-miR-934","FBXO45"
"hsa-miR-934","FREM1"
"hsa-miR-934","FZD2"
"hsa-miR-934","FZD5"
"hsa-miR-934","GMEB1"
"hsa-miR-934","GOSR1"
"hsa-miR-934","HIPK2"
"hsa-miR-934","HOXA4"
"hsa-miR-934","HS3ST5"
"hsa-miR-934","HSBP1"
"hsa-miR-934","HUWE1"
"hsa-miR-934","HYCC2"
"hsa-miR-934","IGFBP5"
"hsa-miR-934","IKBIP"
"hsa-miR-934","INSIG1"
"hsa-miR-934","IP6K1"
"hsa-miR-934","KMT2C"
"hsa-miR-934","KRAS"
"hsa-miR-934","LRRC8D"
"hsa-miR-934","LRRN1"
"hsa-miR-934","MEX3A"
"hsa-miR-934","NCOR1"
"hsa-miR-934","NLGN3"
"hsa-miR-934","NSD1"
"hsa-miR-934","PCDHB16"
"hsa-miR-934","PGAM4"
"hsa-miR-934","PMAIP1"
"hsa-miR-934","PODXL"
"hsa-miR-934","PPM1A"
"hsa-miR-934","RAP2C"
"hsa-miR-934","RBM33"
"hsa-miR-934","RUNX1T1"
"hsa-miR-934","SERPINC1"
"hsa-miR-934","SKP1"
"hsa-miR-934","SLIT1"
"hsa-miR-934","SPAST"
"hsa-miR-934","TIPRL"
"hsa-miR-934","TRIM42"
"hsa-miR-934","YWHAZ"
"hsa-miR-934","ZBTB39"
"hsa-miR-934","ZNF527"
"hsa-miR-934","ZZZ3"
